TeamID,ELO
13,1350.1031649118418
28,1498.0589127146686
20,1506.1507580451857
12,1505.2600066346813
43,1514.6574845856878
8,1494.49232525156
33,1697.0449214200135
4,1505.1735420516075
41,1406.9216252339836
34,1492.1409099195732
24,1471.0919837041001
2,1618.2067503440724
15,1353.2834103906569
22,1503.4350892640696
35,1369.8319860754864
18,1493.5919092487381
42,1585.3379150851063
25,1482.6102313233812
11,1512.601320358049
21,1462.3557273227623
1,1500.5301801932817
17,1695.2566266792098
19,1635.356646106989
44,1500.5964173795699
0,1371.2872265729643
5,1332.7448124092198
30,1480.8906149743777
3,1520.9226133472034
16,1591.689675989895
39,1520.7215356789245
31,1623.965996900873
32,1566.002069425418
26,1383.6414110691492
14,1509.1899462747554
37,1545.0708723489531
6,1351.7841012226222
29,1612.3667623808492
36,1554.6467411814483
23,1380.9857759790714
